tank,block,treatment,source,date,stocked,larval_period,growthrate,mass_g,hl,svl,tl,hw,phenotype,env_pheno,stage,body_condition
4,Block 4,Drying,Permanent,12/12/2017,4/9/2017,247,0.169242915,3.869,11.306,41.803,82.307,10.34,Larva,Aquatic,Larvae,0.671226978
12,Block 6,Drying,Permanent,7/8/2017,4/9/2017,90,0.433166667,2.661,11.312,38.985,72.228,9.582,Metamorph,Terrestrial,Adult,0.078099578
14,Block 2,Drying,Permanent,6/19/2017,4/9/2017,71,0.571295775,2.868,11.328,40.562,75.906,10.458,Metamorph,Terrestrial,Adult,-0.058993428
4,Block 4,Drying,Permanent,9/7/2017,4/9/2017,151,0.249231788,2.399,11.353,37.634,69.428,9.931,Metamorph,Terrestrial,Adult,0.110880587
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.151321138,2.769,11.361,37.225,78.801,10.151,Larva,Aquatic,Larvae,0.57012221
14,Block 2,Drying,Permanent,7/11/2017,4/9/2017,93,0.486290323,3.111,11.377,45.225,76.749,10.744,Metamorph,Terrestrial,Adult,-0.833435208
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.167384615,2.946,11.378,41.344,79.166,9.924,Paedomorph,Aquatic,Adult,-0.151621665
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.15450813,2.149,11.381,38.009,68.636,9.28,Larva,Aquatic,Larvae,-0.220942417
1,Block 1,Drying,Temporary,6/3/2017,4/8/2017,56,0.660589286,2.356,11.393,36.993,69.513,9.63,Metamorph,Terrestrial,Adult,0.207743375
1,Block 1,Drying,Temporary,6/16/2017,4/8/2017,69,0.60057971,2.587,11.396,41.44,74.64,10.377,Metamorph,Terrestrial,Adult,-0.531568354
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.17158871,3.083,11.42,42.554,83.68,10.56,Larva,Aquatic,Larvae,-0.278637225
6,Block 6,Constant,Temporary,9/23/2017,4/8/2017,168,0.241696429,2.644,11.436,40.605,72.564,10.139,Metamorph,Terrestrial,Adult,-0.292375799
4,Block 4,Drying,Permanent,12/12/2017,4/9/2017,247,0.179643725,3.708,11.437,44.372,87.046,10.763,Larva,Aquatic,Larvae,-0.050315148
12,Block 6,Drying,Permanent,7/19/2017,4/9/2017,101,0.375178218,2.601,11.44,37.893,70.982,9.652,Metamorph,Terrestrial,Adult,0.256368166
2,Block 2,Constant,Permanent,6/16/2017,4/9/2017,68,0.553544118,2.381,11.473,37.641,70.696,9.882,Metamorph,Terrestrial,Adult,0.091353224
19,Block 1,Constant,Permanent,12/11/2017,4/9/2017,246,0.175804878,3.111,11.477,43.248,85.194,9.912,Larva,Aquatic,Larvae,-0.402064331
9,Block 3,Drying,Permanent,9/23/2017,4/9/2017,167,0.237305389,1.978,11.486,39.63,68.303,10.05,Metamorph,Terrestrial,Adult,-0.745635989
3,Block 3,Constant,Temporary,9/23/2017,4/8/2017,168,0.261095238,3.725,11.487,43.864,81.457,11.024,Metamorph,Terrestrial,Adult,0.077527748
12,Block 6,Drying,Permanent,9/7/2017,4/9/2017,151,0.276629139,2.767,11.513,41.771,75.139,10.252,Metamorph,Terrestrial,Adult,-0.423790792
12,Block 6,Drying,Permanent,7/19/2017,4/9/2017,101,0.374405941,2.455,11.518,37.815,69.418,9.933,Metamorph,Terrestrial,Adult,0.127387351
23,Block 5,Drying,Temporary,7/23/2017,4/8/2017,106,0.377943396,2.71,11.556,40.062,73.254,10.234,Metamorph,Terrestrial,Adult,-0.107896089
20,Block 2,Drying,Temporary,12/11/2017,4/8/2017,247,0.172469636,3.003,11.558,42.6,83.902,9.886,Larva,Aquatic,Larvae,-0.36867418
9,Block 3,Drying,Permanent,9/19/2017,4/9/2017,163,0.239625767,2.51,11.561,39.059,71.823,9.899,Metamorph,Terrestrial,Adult,-0.089046828
13,Block 1,Drying,Permanent,7/23/2017,4/9/2017,105,0.391247619,2.9,11.571,41.081,76.714,10.227,Metamorph,Terrestrial,Adult,-0.140236465
24,Block 6,Constant,Permanent,6/3/2017,4/9/2017,55,0.710254545,2.401,11.573,39.064,65.359,9.969,Metamorph,Terrestrial,Adult,-0.199137801
6,Block 6,Constant,Temporary,12/12/2017,4/8/2017,248,0.169052419,2.753,11.589,41.925,80.681,10.408,Larva,Aquatic,Larvae,-0.471392773
13,Block 1,Drying,Permanent,5/31/2017,4/9/2017,52,0.718057692,2.409,11.598,37.339,69.873,9.955,Metamorph,Terrestrial,Adult,0.185248017
13,Block 1,Drying,Permanent,6/13/2017,4/9/2017,65,0.571538462,2.728,11.602,37.15,71.52,9.868,Metamorph,Terrestrial,Adult,0.545486811
4,Block 4,Drying,Permanent,5/31/2017,4/9/2017,52,0.744211538,2.246,11.641,38.699,71.181,9.605,Metamorph,Terrestrial,Adult,-0.274496744
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.181369919,3.844,11.705,44.617,91.13,10.948,Larva,Aquatic,Larvae,0.032227156
23,Block 5,Drying,Temporary,7/23/2017,4/8/2017,106,0.395509434,3.033,11.722,41.924,75.038,10.247,Metamorph,Terrestrial,Adult,-0.191174578
14,Block 2,Drying,Permanent,7/23/2017,4/9/2017,105,0.401038095,3.027,11.726,42.109,76.911,10.849,Metamorph,Terrestrial,Adult,-0.237540593
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.183800813,3.864,11.729,45.215,88.887,10.784,Larva,Aquatic,Larvae,-0.078253261
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.150430894,2.352,11.73,37.006,72.544,9.216,Larva,Aquatic,Larvae,0.200906845
5,Block 5,Constant,Permanent,9/19/2017,4/9/2017,163,0.243631902,2.51,11.751,39.712,70.99,10.201,Metamorph,Terrestrial,Adult,-0.231527952
6,Block 6,Constant,Temporary,12/12/2017,4/8/2017,248,0.171794355,3.299,11.771,42.605,77.832,10.348,Larva,Aquatic,Larvae,-0.073765153
13,Block 1,Drying,Permanent,7/2/2017,4/9/2017,84,0.485630952,3.068,11.772,40.793,76.866,10.721,Metamorph,Terrestrial,Adult,0.090603602
18,Block 6,Drying,Temporary,6/13/2017,4/8/2017,66,0.643651515,3.676,11.851,42.481,81.614,10.775,Metamorph,Terrestrial,Adult,0.330290987
6,Block 6,Constant,Temporary,12/12/2017,4/8/2017,248,0.169060484,3.178,11.876,41.927,83.809,10.533,Larva,Aquatic,Larvae,-0.046829162
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.161654472,2.653,11.882,39.767,76.976,9.95,Larva,Aquatic,Larvae,-0.100528659
24,Block 6,Constant,Permanent,9/19/2017,4/9/2017,163,0.263159509,3.218,11.884,42.895,79.031,10.645,Metamorph,Terrestrial,Adult,-0.21804161
3,Block 3,Constant,Temporary,12/12/2017,4/8/2017,248,0.179129032,3.48,11.898,44.424,88.547,10.276,Paedomorph,Aquatic,Adult,-0.289661271
7,Block 1,Constant,Temporary,10/15/2017,4/8/2017,190,0.265763158,4.536,11.921,50.495,97.591,11.575,Metamorph,Terrestrial,Adult,-0.558321157
11,Block 5,Constant,Temporary,12/12/2017,4/8/2017,248,0.179129032,3.422,11.956,44.424,85.376,10.78,Larva,Aquatic,Larvae,-0.347661271
15,Block 3,Constant,Permanent,12/11/2017,4/9/2017,246,0.163382114,2.953,11.96,40.192,81.98,10.981,Larva,Aquatic,Larvae,0.106738603
3,Block 3,Constant,Temporary,9/23/2017,4/8/2017,168,0.254446429,3.557,11.974,42.747,79.975,10.949,Metamorph,Terrestrial,Adult,0.153251203
8,Block 2,Constant,Temporary,12/12/2017,4/8/2017,248,0.176375,3.008,11.986,43.741,78.898,10.493,Paedomorph,Aquatic,Adult,-0.612634307
2,Block 2,Constant,Permanent,9/23/2017,4/9/2017,167,0.238143713,2.793,11.987,39.77,74.873,10.41,Metamorph,Terrestrial,Adult,0.038816757
18,Block 6,Drying,Temporary,6/25/2017,4/8/2017,78,0.549846154,4.503,11.992,42.888,87.026,11.177,Metamorph,Terrestrial,Adult,1.068485753
5,Block 5,Constant,Permanent,12/12/2017,4/9/2017,247,0.164526316,2.978,11.996,40.638,72.853,10.216,Larva,Aquatic,Larvae,0.034423777
6,Block 6,Constant,Temporary,12/12/2017,4/8/2017,248,0.176153226,2.856,12.027,43.686,81.029,10.215,Larva,Aquatic,Larvae,-0.752633599
23,Block 5,Drying,Temporary,7/5/2017,4/8/2017,88,0.448954545,2.85,12.034,39.508,73.656,10.236,Metamorph,Terrestrial,Adult,0.152983762
5,Block 5,Constant,Permanent,12/12/2017,4/9/2017,247,0.167963563,2.846,12.047,41.487,72.353,10.785,Larva,Aquatic,Larvae,-0.282823504
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.175658537,3.27,12.066,43.212,84.926,10.599,Larva,Aquatic,Larvae,-0.235209322
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.188300813,3.682,12.096,46.322,90.194,11.311,Larva,Aquatic,Larvae,-0.501794769
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.168773279,3.365,12.176,41.687,86.785,10.903,Larva,Aquatic,Larvae,0.19253756
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.177927126,4.262,12.184,43.948,88.743,11.232,Larva,Aquatic,Larvae,0.596199395
10,Block 4,Constant,Temporary,12/12/2017,4/8/2017,248,0.192697581,4.228,12.201,47.789,92.507,11.129,Paedomorph,Aquatic,Adult,-0.27588636
16,Block 4,Drying,Temporary,7/23/2017,4/8/2017,106,0.394754717,3.651,12.212,41.844,79.83,11.264,Metamorph,Terrestrial,Adult,0.444280996
5,Block 5,Constant,Permanent,12/12/2017,4/9/2017,247,0.165259109,3.012,12.213,40.819,73.695,10.141,Larva,Aquatic,Larvae,0.02893054
19,Block 1,Constant,Permanent,12/11/2017,4/9/2017,246,0.167044715,5.334,12.223,41.093,82.642,10.902,Paedomorph,Aquatic,Adult,2.291145199
1,Block 1,Drying,Temporary,6/16/2017,4/8/2017,69,0.586536232,2.99,12.28,40.471,75.919,10.692,Metamorph,Terrestrial,Adult,0.082862288
18,Block 6,Drying,Temporary,7/5/2017,4/8/2017,88,0.475193182,3.696,12.35,41.817,81.838,11.004,Metamorph,Terrestrial,Adult,0.495172252
14,Block 2,Drying,Permanent,9/15/2017,4/9/2017,159,0.280427673,3.327,12.35,44.588,82.034,11.062,Metamorph,Terrestrial,Adult,-0.478445198
7,Block 1,Constant,Temporary,12/12/2017,4/8/2017,248,0.201379032,5.233,12.352,49.942,95.582,11.71,Paedomorph,Aquatic,Adult,0.2593405
22,Block 4,Constant,Permanent,6/25/2017,4/9/2017,77,0.524220779,2.523,12.355,40.365,67.504,10.279,Metamorph,Terrestrial,Adult,-0.361009076
1,Block 1,Drying,Temporary,9/23/2017,4/8/2017,168,0.256154762,3.18,12.378,43.034,79.36,10.814,Metamorph,Terrestrial,Adult,-0.28637067
24,Block 6,Constant,Permanent,9/19/2017,4/9/2017,163,0.268300613,3.263,12.419,43.733,81.098,10.903,Metamorph,Terrestrial,Adult,-0.355888749
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.176178862,4.046,12.446,43.34,84.543,10.947,Paedomorph,Aquatic,Adult,0.512861759
10,Block 4,Constant,Temporary,12/12/2017,4/8/2017,248,0.18903629,4.699,12.485,46.881,96.538,11.707,Larva,Aquatic,Larvae,0.393234407
3,Block 3,Constant,Temporary,9/27/2017,4/8/2017,172,0.256372093,3.697,12.562,44.096,85.025,11.283,Metamorph,Terrestrial,Adult,-0.001093417
21,Block 3,Drying,Temporary,9/19/2017,4/8/2017,164,0.262207317,3.06,12.563,43.002,77.368,10.629,Metamorph,Terrestrial,Adult,-0.39938844
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.174024291,3.677,12.611,42.984,86.211,11.181,Larva,Aquatic,Larvae,0.221539064
10,Block 4,Constant,Temporary,12/12/2017,4/8/2017,248,0.191201613,4.795,12.613,47.418,91.643,11.39,Paedomorph,Aquatic,Adult,0.372063865
3,Block 3,Constant,Temporary,12/12/2017,4/8/2017,248,0.195016129,4.456,12.617,48.364,95.277,11.353,Paedomorph,Aquatic,Adult,-0.1733483
10,Block 4,Constant,Temporary,12/12/2017,4/8/2017,248,0.193604839,4.781,12.675,48.014,101.343,11.659,Paedomorph,Aquatic,Adult,0.228019838
7,Block 1,Constant,Temporary,5/25/2017,4/8/2017,47,0.846659574,3.327,12.681,39.793,78.75,10.83,Metamorph,Terrestrial,Adult,0.567798279
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.18552439,4.352,12.707,45.639,92.635,10.961,Larva,Aquatic,Larvae,0.317232196
7,Block 1,Constant,Temporary,12/12/2017,4/8/2017,248,0.196879032,5.303,12.739,48.826,96.789,11.674,Paedomorph,Aquatic,Adult,0.57284576
14,Block 2,Drying,Permanent,8/13/2017,4/9/2017,126,0.35218254,3.062,12.744,44.375,82.202,11.446,Metamorph,Terrestrial,Adult,-0.696969732
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.174910569,3.514,12.752,43.028,89.801,10.75,Paedomorph,Aquatic,Adult,0.048938498
23,Block 5,Drying,Temporary,12/11/2017,4/8/2017,247,0.196194332,5.988,12.758,48.46,96.517,12.393,Paedomorph,Aquatic,Adult,1.337705011
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.148739837,1.912,12.803,36.59,69.176,9.137,Larva,Aquatic,Larvae,-0.14832417
11,Block 5,Constant,Temporary,6/16/2017,4/8/2017,69,0.592869565,2.586,12.828,40.908,71.429,9.906,Metamorph,Terrestrial,Adult,-0.416488786
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.193914634,4.512,12.84,47.703,91.654,10.652,Larva,Aquatic,Larvae,0.026878382
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.171554656,3.12,12.883,42.374,87.446,11.123,Larva,Aquatic,Larvae,-0.202362183
13,Block 1,Drying,Permanent,6/28/2017,4/9/2017,80,0.5157625,3.083,12.897,41.261,76.935,10.287,Metamorph,Terrestrial,Adult,0.003488493
14,Block 2,Drying,Permanent,12/11/2017,4/9/2017,246,0.19596748,4.504,12.915,48.208,90.915,11.394,Paedomorph,Aquatic,Adult,-0.09130993
23,Block 5,Drying,Temporary,12/11/2017,4/8/2017,247,0.196287449,5.202,12.924,48.483,93.459,11.48,Paedomorph,Aquatic,Adult,0.546686534
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.17942915,3.587,12.929,44.319,86.438,10.915,Larva,Aquatic,Larvae,-0.15975083
21,Block 3,Drying,Temporary,12/11/2017,4/8/2017,247,0.193384615,4.956,12.963,47.766,94.06,12.15,Larva,Aquatic,Larvae,0.457132117
16,Block 4,Drying,Temporary,12/11/2017,4/8/2017,247,0.194785425,5.62,13.016,48.112,91.367,11.266,Paedomorph,Aquatic,Adult,1.045636759
19,Block 1,Constant,Permanent,12/11/2017,4/9/2017,246,0.186703252,4.083,13.031,45.929,91.416,11.747,Larva,Aquatic,Larvae,-0.01504426
19,Block 1,Constant,Permanent,12/11/2017,4/9/2017,246,0.198528455,3.08,13.046,48.838,97.562,11.788,Paedomorph,Aquatic,Adult,-1.652772577
1,Block 1,Drying,Temporary,12/12/2017,4/8/2017,248,0.19425,6.203,13.114,48.174,96.878,11.43,Paedomorph,Aquatic,Adult,1.615108689
12,Block 6,Drying,Permanent,12/12/2017,4/9/2017,247,0.195093117,4.219,13.118,48.188,94.021,12.027,Larva,Aquatic,Larvae,-0.371946036
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.19162753,3.936,13.148,47.332,89.495,11.152,Larva,Aquatic,Larvae,-0.468171393
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.184308943,3.862,13.179,45.34,91.264,11.388,Larva,Aquatic,Larvae,-0.107527596
23,Block 5,Drying,Temporary,12/11/2017,4/8/2017,247,0.198603239,6.058,13.251,49.055,97.176,12.14,Paedomorph,Aquatic,Adult,1.277879179
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.194906504,5.289,13.281,47.947,100.159,11.551,Paedomorph,Aquatic,Adult,0.750638881
1,Block 1,Drying,Temporary,6/28/2017,4/8/2017,81,0.526592593,3.454,13.397,42.654,76.553,11.285,Metamorph,Terrestrial,Adult,0.070543308
14,Block 2,Drying,Permanent,12/11/2017,4/9/2017,246,0.212662602,5.713,13.573,52.315,101.422,13.086,Larva,Aquatic,Larvae,0.221564531
21,Block 3,Drying,Temporary,12/11/2017,4/8/2017,247,0.205093117,5.73,13.575,50.658,104.205,11.193,Paedomorph,Aquatic,Adult,0.600113111
3,Block 3,Constant,Temporary,12/12/2017,4/8/2017,248,0.191943548,4.801,13.901,47.602,96.268,12.047,Paedomorph,Aquatic,Adult,0.337916045
