site,species,counts
1,Achimill,1
1,Agrostol,0
1,Airaprae,0
1,Alopgeni,0
1,Anthodor,0
1,Bellpere,0
1,Bromhord,0
1,Chenalbu,0
1,Cirsarve,0
1,Comapalu,0
1,Eleopalu,0
1,Elymrepe,4
1,Empenigr,0
1,Hyporadi,0
1,Juncarti,0
1,Juncbufo,0
1,Lolipere,7
1,Planlanc,0
1,Poaprat,4
1,Poatriv,2
1,Ranuflam,0
1,Rumeacet,0
1,Sagiproc,0
1,Salirepe,0
1,Scorautu,0
1,Trifprat,0
1,Trifrepe,0
1,Vicilath,0
1,Bracruta,0
1,Callcusp,0
2,Achimill,3
2,Agrostol,0
2,Airaprae,0
2,Alopgeni,2
2,Anthodor,0
2,Bellpere,3
2,Bromhord,4
2,Chenalbu,0
2,Cirsarve,0
2,Comapalu,0
2,Eleopalu,0
2,Elymrepe,4
2,Empenigr,0
2,Hyporadi,0
2,Juncarti,0
2,Juncbufo,0
2,Lolipere,5
2,Planlanc,0
2,Poaprat,4
2,Poatriv,7
2,Ranuflam,0
2,Rumeacet,0
2,Sagiproc,0
2,Salirepe,0
2,Scorautu,5
2,Trifprat,0
2,Trifrepe,5
2,Vicilath,0
2,Bracruta,0
2,Callcusp,0
3,Achimill,0
3,Agrostol,4
3,Airaprae,0
3,Alopgeni,7
3,Anthodor,0
3,Bellpere,2
3,Bromhord,0
3,Chenalbu,0
3,Cirsarve,0
3,Comapalu,0
3,Eleopalu,0
3,Elymrepe,4
3,Empenigr,0
3,Hyporadi,0
3,Juncarti,0
3,Juncbufo,0
3,Lolipere,6
3,Planlanc,0
3,Poaprat,5
3,Poatriv,6
3,Ranuflam,0
3,Rumeacet,0
3,Sagiproc,0
3,Salirepe,0
3,Scorautu,2
3,Trifprat,0
3,Trifrepe,2
3,Vicilath,0
3,Bracruta,2
3,Callcusp,0
4,Achimill,0
4,Agrostol,8
4,Airaprae,0
4,Alopgeni,2
4,Anthodor,0
4,Bellpere,2
4,Bromhord,3
4,Chenalbu,0
4,Cirsarve,2
4,Comapalu,0
4,Eleopalu,0
4,Elymrepe,4
4,Empenigr,0
4,Hyporadi,0
4,Juncarti,0
4,Juncbufo,0
4,Lolipere,5
4,Planlanc,0
4,Poaprat,4
4,Poatriv,5
4,Ranuflam,0
4,Rumeacet,0
4,Sagiproc,5
4,Salirepe,0
4,Scorautu,2
4,Trifprat,0
4,Trifrepe,1
4,Vicilath,0
4,Bracruta,2
4,Callcusp,0
5,Achimill,2
5,Agrostol,0
5,Airaprae,0
5,Alopgeni,0
5,Anthodor,4
5,Bellpere,2
5,Bromhord,2
5,Chenalbu,0
5,Cirsarve,0
5,Comapalu,0
5,Eleopalu,0
5,Elymrepe,4
5,Empenigr,0
5,Hyporadi,0
5,Juncarti,0
5,Juncbufo,0
5,Lolipere,2
5,Planlanc,5
5,Poaprat,2
5,Poatriv,6
5,Ranuflam,0
5,Rumeacet,5
5,Sagiproc,0
5,Salirepe,0
5,Scorautu,3
5,Trifprat,2
5,Trifrepe,2
5,Vicilath,0
5,Bracruta,2
5,Callcusp,0
6,Achimill,2
6,Agrostol,0
6,Airaprae,0
6,Alopgeni,0
6,Anthodor,3
6,Bellpere,0
6,Bromhord,0
6,Chenalbu,0
6,Cirsarve,0
6,Comapalu,0
6,Eleopalu,0
6,Elymrepe,0
6,Empenigr,0
6,Hyporadi,0
6,Juncarti,0
6,Juncbufo,0
6,Lolipere,6
6,Planlanc,5
6,Poaprat,3
6,Poatriv,4
6,Ranuflam,0
6,Rumeacet,6
6,Sagiproc,0
6,Salirepe,0
6,Scorautu,3
6,Trifprat,5
6,Trifrepe,5
6,Vicilath,0
6,Bracruta,6
6,Callcusp,0
7,Achimill,2
7,Agrostol,0
7,Airaprae,0
7,Alopgeni,0
7,Anthodor,2
7,Bellpere,0
7,Bromhord,2
7,Chenalbu,0
7,Cirsarve,0
7,Comapalu,0
7,Eleopalu,0
7,Elymrepe,0
7,Empenigr,0
7,Hyporadi,0
7,Juncarti,0
7,Juncbufo,2
7,Lolipere,6
7,Planlanc,5
7,Poaprat,4
7,Poatriv,5
7,Ranuflam,0
7,Rumeacet,3
7,Sagiproc,0
7,Salirepe,0
7,Scorautu,3
7,Trifprat,2
7,Trifrepe,2
7,Vicilath,0
7,Bracruta,2
7,Callcusp,0
8,Achimill,0
8,Agrostol,4
8,Airaprae,0
8,Alopgeni,5
8,Anthodor,0
8,Bellpere,0
8,Bromhord,0
8,Chenalbu,0
8,Cirsarve,0
8,Comapalu,0
8,Eleopalu,4
8,Elymrepe,0
8,Empenigr,0
8,Hyporadi,0
8,Juncarti,4
8,Juncbufo,0
8,Lolipere,4
8,Planlanc,0
8,Poaprat,4
8,Poatriv,4
8,Ranuflam,2
8,Rumeacet,0
8,Sagiproc,2
8,Salirepe,0
8,Scorautu,3
8,Trifprat,0
8,Trifrepe,2
8,Vicilath,0
8,Bracruta,2
8,Callcusp,0
9,Achimill,0
9,Agrostol,3
9,Airaprae,0
9,Alopgeni,3
9,Anthodor,0
9,Bellpere,0
9,Bromhord,0
9,Chenalbu,0
9,Cirsarve,0
9,Comapalu,0
9,Eleopalu,0
9,Elymrepe,6
9,Empenigr,0
9,Hyporadi,0
9,Juncarti,4
9,Juncbufo,4
9,Lolipere,2
9,Planlanc,0
9,Poaprat,4
9,Poatriv,5
9,Ranuflam,0
9,Rumeacet,2
9,Sagiproc,2
9,Salirepe,0
9,Scorautu,2
9,Trifprat,0
9,Trifrepe,3
9,Vicilath,0
9,Bracruta,2
9,Callcusp,0
10,Achimill,4
10,Agrostol,0
10,Airaprae,0
10,Alopgeni,0
10,Anthodor,4
10,Bellpere,2
10,Bromhord,4
10,Chenalbu,0
10,Cirsarve,0
10,Comapalu,0
10,Eleopalu,0
10,Elymrepe,0
10,Empenigr,0
10,Hyporadi,0
10,Juncarti,0
10,Juncbufo,0
10,Lolipere,6
10,Planlanc,3
10,Poaprat,4
10,Poatriv,4
10,Ranuflam,0
10,Rumeacet,0
10,Sagiproc,0
10,Salirepe,0
10,Scorautu,3
10,Trifprat,0
10,Trifrepe,6
10,Vicilath,1
10,Bracruta,2
10,Callcusp,0
11,Achimill,0
11,Agrostol,0
11,Airaprae,0
11,Alopgeni,0
11,Anthodor,0
11,Bellpere,0
11,Bromhord,0
11,Chenalbu,0
11,Cirsarve,0
11,Comapalu,0
11,Eleopalu,0
11,Elymrepe,0
11,Empenigr,0
11,Hyporadi,2
11,Juncarti,0
11,Juncbufo,0
11,Lolipere,7
11,Planlanc,3
11,Poaprat,4
11,Poatriv,0
11,Ranuflam,0
11,Rumeacet,0
11,Sagiproc,2
11,Salirepe,0
11,Scorautu,5
11,Trifprat,0
11,Trifrepe,3
11,Vicilath,2
11,Bracruta,4
11,Callcusp,0
12,Achimill,0
12,Agrostol,4
12,Airaprae,0
12,Alopgeni,8
12,Anthodor,0
12,Bellpere,0
12,Bromhord,0
12,Chenalbu,0
12,Cirsarve,0
12,Comapalu,0
12,Eleopalu,0
12,Elymrepe,0
12,Empenigr,0
12,Hyporadi,0
12,Juncarti,0
12,Juncbufo,4
12,Lolipere,0
12,Planlanc,0
12,Poaprat,0
12,Poatriv,4
12,Ranuflam,0
12,Rumeacet,2
12,Sagiproc,4
12,Salirepe,0
12,Scorautu,2
12,Trifprat,0
12,Trifrepe,3
12,Vicilath,0
12,Bracruta,4
12,Callcusp,0
13,Achimill,0
13,Agrostol,5
13,Airaprae,0
13,Alopgeni,5
13,Anthodor,0
13,Bellpere,0
13,Bromhord,0
13,Chenalbu,1
13,Cirsarve,0
13,Comapalu,0
13,Eleopalu,0
13,Elymrepe,0
13,Empenigr,0
13,Hyporadi,0
13,Juncarti,0
13,Juncbufo,3
13,Lolipere,0
13,Planlanc,0
13,Poaprat,2
13,Poatriv,9
13,Ranuflam,2
13,Rumeacet,0
13,Sagiproc,2
13,Salirepe,0
13,Scorautu,2
13,Trifprat,0
13,Trifrepe,2
13,Vicilath,0
13,Bracruta,0
13,Callcusp,0
14,Achimill,0
14,Agrostol,4
14,Airaprae,0
14,Alopgeni,0
14,Anthodor,0
14,Bellpere,0
14,Bromhord,0
14,Chenalbu,0
14,Cirsarve,0
14,Comapalu,2
14,Eleopalu,4
14,Elymrepe,0
14,Empenigr,0
14,Hyporadi,0
14,Juncarti,0
14,Juncbufo,0
14,Lolipere,0
14,Planlanc,0
14,Poaprat,0
14,Poatriv,0
14,Ranuflam,2
14,Rumeacet,0
14,Sagiproc,0
14,Salirepe,0
14,Scorautu,2
14,Trifprat,0
14,Trifrepe,6
14,Vicilath,0
14,Bracruta,0
14,Callcusp,4
15,Achimill,0
15,Agrostol,4
15,Airaprae,0
15,Alopgeni,0
15,Anthodor,0
15,Bellpere,0
15,Bromhord,0
15,Chenalbu,0
15,Cirsarve,0
15,Comapalu,2
15,Eleopalu,5
15,Elymrepe,0
15,Empenigr,0
15,Hyporadi,0
15,Juncarti,3
15,Juncbufo,0
15,Lolipere,0
15,Planlanc,0
15,Poaprat,0
15,Poatriv,0
15,Ranuflam,2
15,Rumeacet,0
15,Sagiproc,0
15,Salirepe,0
15,Scorautu,2
15,Trifprat,0
15,Trifrepe,1
15,Vicilath,0
15,Bracruta,4
15,Callcusp,0
16,Achimill,0
16,Agrostol,7
16,Airaprae,0
16,Alopgeni,4
16,Anthodor,0
16,Bellpere,0
16,Bromhord,0
16,Chenalbu,0
16,Cirsarve,0
16,Comapalu,0
16,Eleopalu,8
16,Elymrepe,0
16,Empenigr,0
16,Hyporadi,0
16,Juncarti,3
16,Juncbufo,0
16,Lolipere,0
16,Planlanc,0
16,Poaprat,0
16,Poatriv,2
16,Ranuflam,2
16,Rumeacet,0
16,Sagiproc,0
16,Salirepe,0
16,Scorautu,0
16,Trifprat,0
16,Trifrepe,0
16,Vicilath,0
16,Bracruta,4
16,Callcusp,3
17,Achimill,2
17,Agrostol,0
17,Airaprae,2
17,Alopgeni,0
17,Anthodor,4
17,Bellpere,0
17,Bromhord,0
17,Chenalbu,0
17,Cirsarve,0
17,Comapalu,0
17,Eleopalu,0
17,Elymrepe,0
17,Empenigr,0
17,Hyporadi,2
17,Juncarti,0
17,Juncbufo,0
17,Lolipere,0
17,Planlanc,2
17,Poaprat,1
17,Poatriv,0
17,Ranuflam,0
17,Rumeacet,0
17,Sagiproc,0
17,Salirepe,0
17,Scorautu,2
17,Trifprat,0
17,Trifrepe,0
17,Vicilath,0
17,Bracruta,0
17,Callcusp,0
18,Achimill,0
18,Agrostol,0
18,Airaprae,0
18,Alopgeni,0
18,Anthodor,0
18,Bellpere,2
18,Bromhord,0
18,Chenalbu,0
18,Cirsarve,0
18,Comapalu,0
18,Eleopalu,0
18,Elymrepe,0
18,Empenigr,0
18,Hyporadi,0
18,Juncarti,0
18,Juncbufo,0
18,Lolipere,2
18,Planlanc,3
18,Poaprat,3
18,Poatriv,0
18,Ranuflam,0
18,Rumeacet,0
18,Sagiproc,0
18,Salirepe,3
18,Scorautu,5
18,Trifprat,0
18,Trifrepe,2
18,Vicilath,1
18,Bracruta,6
18,Callcusp,0
19,Achimill,0
19,Agrostol,0
19,Airaprae,3
19,Alopgeni,0
19,Anthodor,4
19,Bellpere,0
19,Bromhord,0
19,Chenalbu,0
19,Cirsarve,0
19,Comapalu,0
19,Eleopalu,0
19,Elymrepe,0
19,Empenigr,2
19,Hyporadi,5
19,Juncarti,0
19,Juncbufo,0
19,Lolipere,0
19,Planlanc,0
19,Poaprat,0
19,Poatriv,0
19,Ranuflam,0
19,Rumeacet,0
19,Sagiproc,3
19,Salirepe,3
19,Scorautu,6
19,Trifprat,0
19,Trifrepe,2
19,Vicilath,0
19,Bracruta,3
19,Callcusp,0
20,Achimill,0
20,Agrostol,5
20,Airaprae,0
20,Alopgeni,0
20,Anthodor,0
20,Bellpere,0
20,Bromhord,0
20,Chenalbu,0
20,Cirsarve,0
20,Comapalu,0
20,Eleopalu,4
20,Elymrepe,0
20,Empenigr,0
20,Hyporadi,0
20,Juncarti,4
20,Juncbufo,0
20,Lolipere,0
20,Planlanc,0
20,Poaprat,0
20,Poatriv,0
20,Ranuflam,4
20,Rumeacet,0
20,Sagiproc,0
20,Salirepe,5
20,Scorautu,2
20,Trifprat,0
20,Trifrepe,0
20,Vicilath,0
20,Bracruta,4
20,Callcusp,3
